Código Nacional|Nombre Estación|Comuna|Región|Latitud|Longitud|Organismo|Datos Desde|Datos Hasta
340045|Rancagua|Rancagua|Del Libertador Gral. Bernardo  O'Higgins|-34.172221|-70.77611|Dirección Meteorológica de Chile|1957|2023
340047|Machalí|Machalí|Del Libertador Gral. Bernardo  O'Higgins|-34.183888|-70.64861|Dirección Meteorológica de Chile|1996|2001
340048|Quimávida|Doñihue|Del Libertador Gral. Bernardo  O'Higgins|-34.215|-70.996944|Dirección Meteorológica de Chile|2012|2023
340050|Quinta de Tilcoco|Quinta de Tilcoco|Del Libertador Gral. Bernardo  O'Higgins|-34.357777|-70.967221|Fundación para el Desarrollo Frutícola|2020|2023
340052|La Rosa|Peumo|Del Libertador Gral. Bernardo  O'Higgins|-34.326943|-71.258888|Dirección Meteorológica de Chile|2020|2022
340053|San Fernando Liceo Agrícola, El Carmen (FDF)|San Fernando|Del Libertador Gral. Bernardo  O'Higgins|-34.591388|-70.970554|Fundación para el Desarrollo Frutícola|2020|2023
340055|Marchigüe|Marchihue|Del Libertador Gral. Bernardo  O'Higgins|-34.362777|-71.614722|Dirección Meteorológica de Chile|2007|2019
340057|Paredones|Paredones|Del Libertador Gral. Bernardo  O'Higgins|-34.644721|-71.897499|Dirección Meteorológica de Chile|2010|2011
340066|Nilahue - La Quebrada|Pumanque|Del Libertador Gral. Bernardo  O'Higgins|-34.660833|-71.735277|Dirección Meteorológica de Chile|2016|2023
340077|Los Choapinos, Requinoa|Requinoa|Del Libertador Gral. Bernardo  O'Higgins|-34.323054|-70.834721|Fundación para el Desarrollo Frutícola|2020|2023
340093|Portezuelo-Codelco|Rancagua|Del Libertador Gral. Bernardo  O'Higgins|-34.198333|-70.579166|Dirección Meteorológica de Chile|2014|2022
340098|El Arenal|Quinta de Tilcoco|Del Libertador Gral. Bernardo  O'Higgins|-34.355833|-70.991388|Instituto de Investigación Agropecuaria|2019|2023
340102|Hidango Automática INIA|Litueche|Del Libertador Gral. Bernardo  O'Higgins|-34.1125|-71.797221|Instituto de Investigación Agropecuaria|2019|2023
340113|El Tambo|San Vicente|Del Libertador Gral. Bernardo  O'Higgins|-34.47111|-70.986944|Instituto de Investigación Agropecuaria|2019|2023
340115|Pichilemu aeródromo|Pichilemu|Del Libertador Gral. Bernardo  O'Higgins|-34.394166|-72.01861|Dirección Meteorológica de Chile|2017|2023
340116|Aeródromo de la Independencia|Rancagua|Del Libertador Gral. Bernardo  O'Higgins|-34.169443|-70.771666|Dirección Meteorológica de Chile|2019|2023
340117|Las Cabras Sta Brisila|Las Cabras|Del Libertador Gral. Bernardo  O'Higgins|-34.298055|-71.323888|Fundación para el Desarrollo Frutícola|2020|2023
340118|San Fernando|San Fernando|Del Libertador Gral. Bernardo  O'Higgins|-34.577777|-70.975554|Fundación para el Desarrollo Frutícola|2020|2023
340119|Olivar Olivar Alto|Olivar|Del Libertador Gral. Bernardo  O'Higgins|-34.203055|-70.824166|Fundación para el Desarrollo Frutícola|2020|2023
340120|Graneros, Graneros Norte|Graneros|Del Libertador Gral. Bernardo  O'Higgins|-34.061944|-70.705|Fundación para el Desarrollo Frutícola|2020|2023
340121|Malloa, Los Maquis|Malloa|Del Libertador Gral. Bernardo  O'Higgins|-34.5|-70.839721|Fundación para el Desarrollo Frutícola|2020|2023
340122|Las Cabras, Rapel|Las Cabras|Del Libertador Gral. Bernardo  O'Higgins|-34.216666|-71.3|Fundación para el Desarrollo Frutícola|2020|2023
340123|Codegua Norte|Codegua|Del Libertador Gral. Bernardo  O'Higgins|-34.109166|-70.639444|Fundación para el Desarrollo Frutícola|2020|2023
340124|Chimbarongo|Chimbarongo|Del Libertador Gral. Bernardo  O'Higgins|-34.67111|-71.031666|Fundación para el Desarrollo Frutícola|2020|2023
340125|Codegua|Codegua|Del Libertador Gral. Bernardo  O'Higgins|-34.110277|-70.653611|Fundación para el Desarrollo Frutícola|2020|2023
340126|Placilla Chacarilla|Placilla|Del Libertador Gral. Bernardo  O'Higgins|-34.641666|-71.135555|Fundación para el Desarrollo Frutícola|2020|2023
340127|Palmilla|Palmilla|Del Libertador Gral. Bernardo  O'Higgins|-34.546666|-71.394999|Fundación para el Desarrollo Frutícola|2020|2023
340128|Nancagua 2|Nancagua|Del Libertador Gral. Bernardo  O'Higgins|-34.660833|-71.28361|Fundación para el Desarrollo Frutícola|2020|2023
340129|San Vicente TT|San Vicente|Del Libertador Gral. Bernardo  O'Higgins|-34.457777|-71.050555|Fundación para el Desarrollo Frutícola|2020|2023
340130|Coltauco|Coltauco|Del Libertador Gral. Bernardo  O'Higgins|-34.237777|-71.005|Fundación para el Desarrollo Frutícola|2020|2023
340132|Santa Cruz|Santa Cruz|Del Libertador Gral. Bernardo  O'Higgins|-34.690833|-71.4|Fundación para el Desarrollo Frutícola|2020|2023
